,Eye Detection,Time
528,LEFT,2025-02-24 22:49:03.849342
529,LEFT,2025-02-24 22:49:03.849342
530,LEFT,2025-02-24 22:49:03.849342
531,LEFT,2025-02-24 22:49:03.849342
532,CENTER,2025-02-24 22:49:03.849342
533,LEFT,2025-02-24 22:49:03.849342
534,LEFT,2025-02-24 22:49:03.849342
535,LEFT,2025-02-24 22:49:03.849342
536,LEFT,2025-02-24 22:49:03.849342
537,LEFT,2025-02-24 22:49:03.849342
538,LEFT,2025-02-24 22:49:03.849342
539,LEFT,2025-02-24 22:49:03.849342
540,CENTER,2025-02-24 22:49:03.849342
541,CENTER,2025-02-24 22:49:03.849342
542,CENTER,2025-02-24 22:49:03.849342
543,CENTER,2025-02-24 22:49:03.849342
544,LEFT,2025-02-24 22:49:03.849342
545,LEFT,2025-02-24 22:49:03.849342
546,LEFT,2025-02-24 22:49:03.849342
547,LEFT,2025-02-24 22:49:03.849342
548,LEFT,2025-02-24 22:49:03.849342
549,LEFT,2025-02-24 22:49:03.849342
550,LEFT,2025-02-24 22:49:03.849342
551,LEFT,2025-02-24 22:49:03.849342
552,LEFT,2025-02-24 22:49:03.849342
553,LEFT,2025-02-24 22:49:03.849342
554,LEFT,2025-02-24 22:49:03.849342
555,LEFT,2025-02-24 22:49:03.849342
556,LEFT,2025-02-24 22:49:03.849342
557,LEFT,2025-02-24 22:49:03.849342
558,LEFT,2025-02-24 22:49:03.849342
559,LEFT,2025-02-24 22:49:03.849342
560,LEFT,2025-02-24 22:49:03.849342
561,LEFT,2025-02-24 22:49:03.849342
562,CENTER,2025-02-24 22:49:03.849342
563,LEFT,2025-02-24 22:49:03.849342
564,CENTER,2025-02-24 22:49:03.849342
565,LEFT,2025-02-24 22:49:03.849342
566,LEFT,2025-02-24 22:49:03.849342
567,LEFT,2025-02-24 22:49:03.849342
568,LEFT,2025-02-24 22:49:03.849342
569,LEFT,2025-02-24 22:49:03.849342
570,LEFT,2025-02-24 22:49:03.849342
571,CENTER,2025-02-24 22:49:03.849342
572,CENTER,2025-02-24 22:49:03.849342
573,LEFT,2025-02-24 22:49:03.849342
574,LEFT,2025-02-24 22:49:03.849342
575,LEFT,2025-02-24 22:49:03.849342
576,LEFT,2025-02-24 22:49:03.849342
577,LEFT,2025-02-24 22:49:03.849342
578,LEFT,2025-02-24 22:49:03.849342
579,LEFT,2025-02-24 22:49:03.849342
580,LEFT,2025-02-24 22:49:03.849342
581,LEFT,2025-02-24 22:49:03.849342
582,LEFT,2025-02-24 22:49:03.849342
583,LEFT,2025-02-24 22:49:03.849342
584,LEFT,2025-02-24 22:49:03.849342
585,LEFT,2025-02-24 22:49:03.849342
586,LEFT,2025-02-24 22:49:03.849342
587,LEFT,2025-02-24 22:49:03.849342
588,LEFT,2025-02-24 22:49:03.849342
589,LEFT,2025-02-24 22:49:03.849342
590,LEFT,2025-02-24 22:49:03.849342
