timestamp,room_temperature,room_pressure,room_humidity,room_light_intensity,skin_temperature,light_temperature,heart_rate,eye_tracking,room_noise,mouse_movement,body_posture,body_movement,voice,face_emotion,task_timestamp
2025-08-13 13:56:15,23.575,995.46,57.4825,119.07,27.68,3368.94,100.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:56:20,23.5775,995.445,58.075,119.07,27.695,3368.94,100.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:56:25,23.5775,995.4425,57.4275,119.07,27.695,3368.94,102.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:56:30,23.5775,995.4475,57.835,119.07,27.68,3372.145,102.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:56:35,23.58,995.45,57.525,119.07,27.675,3369.5625,109.75,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:56:40,23.58,995.4425,57.305,119.07,27.66,3383.51,110.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:56:45,23.57,995.4549999999999,58.43,119.07,27.69,3365.815,109.75,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:56:50,23.560000000000002,995.46,57.46666666666667,119.07,27.69666666666667,3367.633333333333,108.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:56:55,23.5675,995.4375,58.205,119.07,27.715,3367.96,107.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:57:00,23.5625,995.42,58.125,119.07,27.66,3375.35,107.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:57:05,23.56,995.4300000000001,57.8575,119.07,27.755,3373.7475,106.75,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:57:10,23.557499999999997,995.4325,57.769999999999996,119.07,27.765,3368.94,106.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:57:15,23.557499999999997,995.455,57.555,119.07,27.715,3364.755,107.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:57:20,23.5675,995.425,58.0,119.07,27.72,3368.94,107.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:57:25,23.552500000000002,995.4449999999999,58.41,119.07,27.655,3370.5425,107.0,unknown,unknown,active,poor,still,silent,angry,unknown
2025-08-13 13:57:30,23.5325,995.4625000000001,57.9325,119.07,27.66,3368.94,107.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:57:35,23.525,995.435,58.0825,119.07,27.67,3368.94,106.25,unknown,unknown,active,poor,still,silent,happy,unknown
2025-08-13 13:57:40,23.52,995.4300000000001,58.09,119.07,27.715,3368.94,106.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:57:45,23.51,995.4775,57.865,119.07,27.665,3368.94,106.75,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:57:50,23.515,995.4575,57.917500000000004,119.07,27.69,3368.94,107.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:57:55,23.515,995.44,57.9925,119.07,27.66,3368.94,107.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:58:00,23.512500000000003,995.46,58.2375,119.07,27.665,3368.94,106.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:05,23.515,995.4525,57.9275,119.07,27.695,3368.94,106.0,unknown,unknown,active,poor,still,silent,fear,unknown
