Moved to (918, 651) at 1752601147.36
Moved to (919, 650) at 1752601147.37
Moved to (920, 649) at 1752601147.37
Moved to (921, 648) at 1752601147.38
Moved to (922, 647) at 1752601147.38
Moved to (923, 645) at 1752601147.39
Moved to (924, 644) at 1752601147.39
Moved to (925, 643) at 1752601147.39
Moved to (926, 641) at 1752601147.40
Moved to (927, 640) at 1752601147.40
Moved to (928, 639) at 1752601147.41
Moved to (929, 637) at 1752601147.41
Moved to (930, 636) at 1752601147.41
Moved to (931, 635) at 1752601147.42
Moved to (932, 634) at 1752601147.42
Moved to (933, 633) at 1752601147.43
Moved to (933, 632) at 1752601147.43
Moved to (934, 631) at 1752601147.43
Moved to (934, 630) at 1752601147.44
Moved to (934, 629) at 1752601147.44
Moved to (935, 626) at 1752601147.44
Moved to (935, 625) at 1752601147.45
Moved to (935, 623) at 1752601147.46
Moved to (936, 622) at 1752601147.46
Moved to (936, 621) at 1752601147.46
Moved to (936, 619) at 1752601147.47
Moved to (937, 617) at 1752601147.47
Moved to (938, 614) at 1752601147.48
Moved to (938, 613) at 1752601147.48
Moved to (938, 612) at 1752601147.49
Moved to (938, 610) at 1752601147.49
Moved to (939, 609) at 1752601147.50
Moved to (939, 607) at 1752601147.50
Moved to (939, 606) at 1752601147.50
Moved to (939, 605) at 1752601147.51
Moved to (939, 604) at 1752601147.51
Moved to (939, 602) at 1752601147.52
Moved to (939, 601) at 1752601147.52
Moved to (940, 600) at 1752601147.52
Moved to (940, 599) at 1752601147.53
Moved to (940, 598) at 1752601147.53
Moved to (941, 597) at 1752601147.54
Moved to (941, 596) at 1752601147.54
Moved to (941, 595) at 1752601147.55
Moved to (941, 594) at 1752601147.56
Moved to (942, 593) at 1752601147.56
Moved to (942, 592) at 1752601147.57
Moved to (942, 591) at 1752601147.60
Moved to (943, 590) at 1752601148.14
Moved to (944, 590) at 1752601148.14
Moved to (945, 589) at 1752601148.16
Moved to (946, 588) at 1752601148.16
Moved to (947, 588) at 1752601148.16
Moved to (949, 587) at 1752601148.17
Moved to (952, 586) at 1752601148.17
Moved to (956, 585) at 1752601148.18
Moved to (958, 583) at 1752601148.18
Moved to (962, 582) at 1752601148.19
Moved to (967, 581) at 1752601148.19
Moved to (973, 579) at 1752601148.19
