Timestamp,X,Y,Speed
2025-08-13 13:51:00.666,433,63,250.0
2025-08-13 13:51:00.670,433,62,250.0
2025-08-13 13:51:00.750,433,61,12.5
2025-08-13 13:51:00.762,433,61,0.0
2025-08-13 13:51:00.766,433,60,250.0
2025-08-13 13:51:00.770,433,59,250.0
2025-08-13 13:51:00.774,433,58,250.0
2025-08-13 13:51:00.778,433,58,0.0
2025-08-13 13:51:00.786,433,57,125.0
2025-08-13 13:51:00.790,433,56,250.0
2025-08-13 13:51:00.802,433,56,0.0
2025-08-13 13:51:00.806,433,55,250.0
2025-08-13 13:51:00.810,433,54,250.0
2025-08-13 13:51:00.818,433,53,125.0
2025-08-13 13:51:00.826,433,51,250.0
2025-08-13 13:51:00.830,434,50,353.5533905932738
2025-08-13 13:51:00.834,434,50,0.0
2025-08-13 13:51:00.838,435,48,559.0169943749474
2025-08-13 13:51:00.840,436,47,707.1067811865476
2025-08-13 13:51:00.844,436,47,0.0
2025-08-13 13:51:00.848,437,46,353.5533905932738
2025-08-13 13:51:00.853,437,45,200.0
2025-08-13 13:51:00.857,438,44,353.5533905932738
2025-08-13 13:51:00.865,438,44,0.0
2025-08-13 13:51:00.877,438,43,83.33333333333333
2025-08-13 13:51:00.880,438,42,333.3333333333333
2025-08-13 13:51:00.884,439,41,353.5533905932738
2025-08-13 13:51:00.888,440,39,559.0169943749474
2025-08-13 13:51:00.892,441,39,250.0
2025-08-13 13:51:00.896,442,37,559.0169943749474
2025-08-13 13:51:00.900,445,34,1060.6601717798212
2025-08-13 13:51:00.904,446,32,559.0169943749474
2025-08-13 13:51:00.908,450,30,1118.033988749895
2025-08-13 13:51:00.912,452,29,559.0169943749474
2025-08-13 13:51:00.917,454,27,565.685424949238
2025-08-13 13:51:00.920,456,25,942.8090415820634
2025-08-13 13:51:00.924,458,24,559.0169943749474
2025-08-13 13:51:00.928,459,24,250.0
2025-08-13 13:51:00.932,459,23,250.0
2025-08-13 13:51:00.936,460,23,250.0
2025-08-13 13:51:00.944,460,23,0.0
2025-08-13 13:51:00.981,461,23,27.027027027027028
2025-08-13 13:51:00.985,462,23,250.0
2025-08-13 13:51:00.989,464,23,500.0
2025-08-13 13:51:00.993,466,23,500.0
2025-08-13 13:51:00.997,471,23,1250.0
2025-08-13 13:51:01.001,473,23,500.0
2025-08-13 13:51:01.005,480,23,1750.0
2025-08-13 13:51:01.009,488,23,2000.0
2025-08-13 13:51:01.013,493,23,1250.0
2025-08-13 13:51:01.017,503,23,2500.0
2025-08-13 13:51:01.021,510,23,1750.0
2025-08-13 13:51:01.025,520,24,2512.4689052802223
2025-08-13 13:51:01.028,530,24,3333.3333333333335
2025-08-13 13:51:01.032,536,24,1500.0
2025-08-13 13:51:01.034,546,24,5000.0
2025-08-13 13:51:01.038,551,24,1250.0
2025-08-13 13:51:01.042,561,24,2500.0
2025-08-13 13:51:01.046,568,24,1750.0
2025-08-13 13:51:01.051,571,24,600.0
2025-08-13 13:51:01.055,576,24,1250.0
2025-08-13 13:51:01.058,579,24,1000.0
2025-08-13 13:51:01.062,581,24,500.0
2025-08-13 13:51:01.067,582,24,200.0
2025-08-13 13:51:01.075,583,24,125.0
2025-08-13 13:51:01.130,583,25,18.181818181818183
2025-08-13 13:51:01.139,583,26,111.11111111111111
2025-08-13 13:51:01.151,583,26,0.0
2025-08-13 13:51:01.162,583,27,90.90909090909092
2025-08-13 13:51:01.182,583,28,50.0
2025-08-13 13:51:01.309,583,28,0.0
2025-08-13 13:51:01.316,583,29,142.85714285714286
2025-08-13 13:51:01.320,583,30,250.0
2025-08-13 13:51:01.328,584,30,125.0
2025-08-13 13:51:01.332,584,31,250.0
2025-08-13 13:51:04.724,582,3,8.275748141284316
2025-08-13 13:51:04.726,574,-62,32745.228660065884
2025-08-13 13:51:04.730,570,-17,11294.356998076517
2025-08-13 13:51:04.734,566,-17,1000.0
2025-08-13 13:51:04.738,563,-15,901.3878188659972
2025-08-13 13:51:04.742,560,-19,1250.0
2025-08-13 13:51:04.746,556,-17,1118.033988749895
2025-08-13 13:51:04.750,550,-19,1581.1388300841897
2025-08-13 13:51:04.754,547,-16,1060.6601717798212
2025-08-13 13:51:04.759,542,-17,1019.8039027185569
2025-08-13 13:51:04.767,537,-17,625.0
2025-08-13 13:51:04.770,523,-54,13186.693629901654
2025-08-13 13:51:04.774,518,-15,9829.80162566875
2025-08-13 13:51:04.778,514,-14,1030.7764064044152
2025-08-13 13:51:04.782,510,-14,1000.0
2025-08-13 13:51:04.786,507,-13,790.5694150420949
