,Emotion Detection,Time
218,angry,2025-06-30 11:45:05.757373
219,angry,2025-06-30 11:45:05.847958
220,angry,2025-06-30 11:45:05.916762
221,neutral,2025-06-30 11:45:06.000581
222,angry,2025-06-30 11:45:06.100646
223,angry,2025-06-30 11:45:06.171886
224,angry,2025-06-30 11:45:06.241569
225,neutral,2025-06-30 11:45:06.300651
226,angry,2025-06-30 11:45:06.369477
227,angry,2025-06-30 11:45:06.446208
228,fear,2025-06-30 11:45:06.545174
229,neutral,2025-06-30 11:45:06.621249
230,fear,2025-06-30 11:45:06.729015
231,fear,2025-06-30 11:45:06.798232
232,fear,2025-06-30 11:45:06.869526
233,fear,2025-06-30 11:45:06.970123
