,Emotion Detection,Time
298,happy,2025-06-30 12:47:34.865497
299,happy,2025-06-30 12:47:34.936853
300,fear,2025-06-30 12:47:35.052318
301,sad,2025-06-30 12:47:35.170465
302,fear,2025-06-30 12:47:35.233692
303,sad,2025-06-30 12:47:35.333661
304,fear,2025-06-30 12:47:35.402126
305,neutral,2025-06-30 12:47:35.487734
306,sad,2025-06-30 12:47:35.578896
307,sad,2025-06-30 12:47:35.652969
308,angry,2025-06-30 12:47:35.652969
309,sad,2025-06-30 12:47:35.785688
310,sad,2025-06-30 12:47:35.785688
311,neutral,2025-06-30 12:47:35.923117
312,angry,2025-06-30 12:47:35.923117
313,neutral,2025-06-30 12:47:36.057035
314,angry,2025-06-30 12:47:36.057035
315,neutral,2025-06-30 12:47:36.197456
316,angry,2025-06-30 12:47:36.197456
317,fear,2025-06-30 12:47:36.357461
318,sad,2025-06-30 12:47:36.357461
319,fear,2025-06-30 12:47:36.514102
320,angry,2025-06-30 12:47:36.514102
321,sad,2025-06-30 12:47:36.660461
322,neutral,2025-06-30 12:47:36.660461
323,sad,2025-06-30 12:47:36.797215
324,sad,2025-06-30 12:47:36.797215
325,sad,2025-06-30 12:47:36.968773
326,neutral,2025-06-30 12:47:36.968773
327,sad,2025-06-30 12:47:37.107531
328,neutral,2025-06-30 12:47:37.107531
329,angry,2025-06-30 12:47:37.107531
330,neutral,2025-06-30 12:47:37.287951
331,neutral,2025-06-30 12:47:37.287951
332,sad,2025-06-30 12:47:37.420365
333,neutral,2025-06-30 12:47:37.420365
334,neutral,2025-06-30 12:47:37.603470
335,neutral,2025-06-30 12:47:37.732210
336,neutral,2025-06-30 12:47:37.834190
337,sad,2025-06-30 12:47:37.918459
338,sad,2025-06-30 12:47:38.018305
339,sad,2025-06-30 12:47:38.101072
340,neutral,2025-06-30 12:47:38.101072
341,fear,2025-06-30 12:47:38.267853
342,neutral,2025-06-30 12:47:38.267853
343,angry,2025-06-30 12:47:38.483083
344,neutral,2025-06-30 12:47:38.483083
345,angry,2025-06-30 12:47:38.654477
346,neutral,2025-06-30 12:47:38.654477
347,neutral,2025-06-30 12:47:38.808252
348,angry,2025-06-30 12:47:38.938438
349,angry,2025-06-30 12:47:39.052243
350,angry,2025-06-30 12:47:39.144601
351,neutral,2025-06-30 12:47:39.265580
352,angry,2025-06-30 12:47:39.265580
353,sad,2025-06-30 12:47:39.401756
354,neutral,2025-06-30 12:47:39.401756
355,sad,2025-06-30 12:47:39.554181
356,angry,2025-06-30 12:47:39.554181
357,angry,2025-06-30 12:47:39.699106
358,neutral,2025-06-30 12:47:39.699106
359,sad,2025-06-30 12:47:39.858680
360,neutral,2025-06-30 12:47:39.858680
361,sad,2025-06-30 12:47:40.001838
362,neutral,2025-06-30 12:47:40.001838
363,neutral,2025-06-30 12:47:40.150783
364,sad,2025-06-30 12:47:40.150783
365,neutral,2025-06-30 12:47:40.281826
366,angry,2025-06-30 12:47:40.281826
367,neutral,2025-06-30 12:47:40.437628
368,sad,2025-06-30 12:47:40.437628
369,neutral,2025-06-30 12:47:40.571621
370,angry,2025-06-30 12:47:40.571621
371,sad,2025-06-30 12:47:40.746535
372,angry,2025-06-30 12:47:40.746535
373,angry,2025-06-30 12:47:40.746535
374,angry,2025-06-30 12:47:40.982960
375,angry,2025-06-30 12:47:41.071392
376,angry,2025-06-30 12:47:41.199527
377,angry,2025-06-30 12:47:41.199527
378,angry,2025-06-30 12:47:41.335979
379,angry,2025-06-30 12:47:41.335979
380,angry,2025-06-30 12:47:41.484805
381,neutral,2025-06-30 12:47:41.484805
382,angry,2025-06-30 12:47:41.631310
383,neutral,2025-06-30 12:47:41.631310
384,angry,2025-06-30 12:47:41.782946
385,angry,2025-06-30 12:47:41.782946
386,angry,2025-06-30 12:47:41.941080
387,angry,2025-06-30 12:47:41.941080
388,angry,2025-06-30 12:47:42.074847
389,angry,2025-06-30 12:47:42.074847
390,angry,2025-06-30 12:47:42.239704
391,angry,2025-06-30 12:47:42.239704
392,angry,2025-06-30 12:47:42.400250
393,angry,2025-06-30 12:47:42.400250
394,angry,2025-06-30 12:47:42.589174
395,angry,2025-06-30 12:47:42.589174
396,angry,2025-06-30 12:47:42.733178
397,fear,2025-06-30 12:47:42.733178
398,sad,2025-06-30 12:47:42.869713
399,angry,2025-06-30 12:47:42.869713
400,angry,2025-06-30 12:47:43.015163
401,fear,2025-06-30 12:47:43.128596
402,sad,2025-06-30 12:47:43.245298
403,sad,2025-06-30 12:47:43.355795
404,fear,2025-06-30 12:47:43.471615
405,sad,2025-06-30 12:47:43.582726
406,happy,2025-06-30 12:47:43.685476
407,surprise,2025-06-30 12:47:43.809734
408,surprise,2025-06-30 12:47:43.919131
409,angry,2025-06-30 12:47:44.052143
410,fear,2025-06-30 12:47:44.168754
411,neutral,2025-06-30 12:47:44.287474
412,neutral,2025-06-30 12:47:44.287474
413,neutral,2025-06-30 12:47:44.470407
414,angry,2025-06-30 12:47:44.470407
415,surprise,2025-06-30 12:47:44.618499
416,neutral,2025-06-30 12:47:44.745850
417,surprise,2025-06-30 12:47:44.984180
418,neutral,2025-06-30 12:47:45.077728
419,fear,2025-06-30 12:47:45.188299
420,happy,2025-06-30 12:47:45.308217
421,fear,2025-06-30 12:47:45.437605
422,happy,2025-06-30 12:47:45.566465
423,happy,2025-06-30 12:47:45.707567
424,happy,2025-06-30 12:47:45.862084
425,happy,2025-06-30 12:47:45.999087
426,happy,2025-06-30 12:47:46.159591
427,happy,2025-06-30 12:47:46.297328
428,angry,2025-06-30 12:47:46.462276
429,angry,2025-06-30 12:47:46.630118
430,neutral,2025-06-30 12:47:46.831763
431,neutral,2025-06-30 12:47:47.464734
432,sad,2025-06-30 12:47:47.464734
433,neutral,2025-06-30 12:47:47.604793
434,happy,2025-06-30 12:47:47.829688
435,neutral,2025-06-30 12:47:47.930129
436,neutral,2025-06-30 12:47:48.069117
437,neutral,2025-06-30 12:47:48.148584
438,neutral,2025-06-30 12:47:48.239245
439,neutral,2025-06-30 12:47:48.338680
440,neutral,2025-06-30 12:47:48.423336
441,sad,2025-06-30 12:47:48.891905
442,sad,2025-06-30 12:47:49.026700
443,sad,2025-06-30 12:47:49.176616
444,sad,2025-06-30 12:47:49.336933
445,neutral,2025-06-30 12:47:51.628658
446,neutral,2025-06-30 12:47:51.774087
447,happy,2025-06-30 12:47:51.924116
448,angry,2025-06-30 12:47:52.106442
449,neutral,2025-06-30 12:47:52.261199
450,neutral,2025-06-30 12:47:52.398214
451,neutral,2025-06-30 12:47:52.515323
452,neutral,2025-06-30 12:47:52.647484
453,neutral,2025-06-30 12:47:52.768702
454,neutral,2025-06-30 12:47:52.901311
455,neutral,2025-06-30 12:47:53.030412
456,neutral,2025-06-30 12:47:53.176516
457,neutral,2025-06-30 12:47:53.335179
